created_at,voterID,message,selection1,selection2,selection3,selection4,selection5,selection6,voting_power
2024-06-14 07:53:18.263,xz6g9f7260ryyn5lqyyn7jhzhmvmy87y7yyqq,"{""params"":[""joshuaStone"",""mauroAgustnAndreoli"",""lloydDuhon"",""cardanoAtlanticCouncil"",""johnnyKelly"",""easternCardanoCouncil""],""timestamp"":1718351367469}",joshuaStone,mauroAgustnAndreoli,lloydDuhon,cardanoAtlanticCouncil,johnnyKelly,easternCardanoCouncil,625262607
2024-06-14 07:53:50.228,xrygmqljlr6fj5vfrmv54rxymyw6m8hrgjwqx9y9z,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone""],""timestamp"":1718351603677}",cardanoAtlanticCouncil,joshuaStone,,,,,31492088772
2024-06-14 07:54:10.303,xrnj0ymwgxjxj2yyj44yx9ywq25j6fyzh8yfjv6hx,"{""params"":[""mauroAgustnAndreoli"",""joshuaStone"",""cardanoAtlanticCouncil"",""scientificAnalyticalToolsLlc""],""timestamp"":1718351633238}",mauroAgustnAndreoli,joshuaStone,cardanoAtlanticCouncil,scientificAnalyticalToolsLlc,,,145163244
2024-06-14 07:54:26.688,xng7y0m0y5yy59fyl2v3yyffw7xx7h6ym7yfjyf0,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""joshuaStone"",""cardanoJapan"",""kamaldeenMusah"",""easternCardanoCouncil""],""timestamp"":1718351613769}",cardanoAtlanticCouncil,mauroAgustnAndreoli,joshuaStone,cardanoJapan,kamaldeenMusah,easternCardanoCouncil,361694484
2024-06-14 07:55:10.159,y00z66799r59gfmyz79q83rvz2ymv8nw5rwqj4zl9y,"{""params"":[""lloydDuhon"",""joshuaStone"",""mauroAgustnAndreoli"",""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""johnnyKelly""],""timestamp"":1718351697065}",lloydDuhon,joshuaStone,mauroAgustnAndreoli,cardanoAtlanticCouncil,easternCardanoCouncil,johnnyKelly,282753643
2024-06-14 07:57:48.044,8y3yvfyzzf7yrn476yy7nhgxzyqj0nyvgyyh6v9,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718351837269}",cardanoAtlanticCouncil,,,,,,12471883
2024-06-14 08:03:01.71,xrhhvz4ryxzw04xyj6n26ymx5y4gfj5844hgvj7z4v,"{""params"":[""joshuaStone"",""cardanoAtlanticCouncil"",""mauroAgustnAndreoli""],""timestamp"":1718352166979}",joshuaStone,cardanoAtlanticCouncil,mauroAgustnAndreoli,,,,7035883601
2024-06-14 08:08:50.014,972yq347rq3783r776r73hyr0zh803qyxgmvh9nyx0yl4,"{""params"":[""vaibhavSolanki"",""nicodemusRodriguez"",""cardanoJapan"",""kevinMohr"",""cardanoAtlanticCouncil"",""easternCardanoCouncil""],""timestamp"":1718352516255}",vaibhavSolanki,nicodemusRodriguez,cardanoJapan,kevinMohr,cardanoAtlanticCouncil,easternCardanoCouncil,848117118
2024-06-14 08:09:23.352,9ffgql243w3m000yzn9q6mwm3vjwgyxwv286yq2j2r,"{""params"":[""joshuaStone"",""nicodemusRodriguez"",""cardanoAtlanticCouncil""],""timestamp"":1718352550146}",joshuaStone,nicodemusRodriguez,cardanoAtlanticCouncil,,,,90431262351
2024-06-14 08:12:37.352,y6yx6zgyyymwwynhqzf6qvyr5z4g7q0yy4h0g6r5y,"{""params"":[""joshuaStone""],""timestamp"":1718352733176}",joshuaStone,,,,,,54073630371
